movie,sentiment,comment
Mumya,negative,İlk film itibarı ile kadroda nam yapmış star oyuncu olmamasına rağmen iyi bir iş çıkarılmış. Efekt ve görsel sunum çok iyiydi. Brendan Fraser ve Beni karakterini oynayan oyuncu en başarılı oyunculardı. Rachel Weisz kanımca çok zayıftı. Fotojenik bir yüzü ve fiziksel açıdan hiçbir özelliği olmamasına rağmen bir Holywood yapımında oynaması ilginç. Film Fas'ta çekilmiş. O yıllara(1923) ait kostümler iyi dizayn edilmiş. 80 milyon dolar bütçeli film 450 milyon dolara yakın global bir gişe başarısı elde etmiş.
Mumya,negative,"sırtına bolca görsel efetlere dayamış, gerek hikayesi gerekse karakterleri ile sempatik olamayan bir film. Temposuyla yorucu ve sıkıcı bir film.4/10"
Mumya,positive,"bence gayet güzel bi filmdi her ne kadar brendan fraser kendi kulvarının dışına çıksada yinede bence mükemmel bi oyunculuk gösterisinde bulunmuş....kaç defada seyrettiğimi bilmiyom ama her seyrettiğimde ayrı güzel geldi...ama bu filmide korku kategorisine almalarına hayret ettim doğrusu, ne alakaysa.:???"
Mumya,positive,Sinemada seyretmiştim.Gerçekten güzel filmdi.Favori filmlerimden.
Mumya,positive,harikaaa bi filmdi.. izlerken cidden ürkmüştüm.. kesinlikle 2.sine göre çookk daha iyiydi.. tekrar tekrar izlemeye değer..
Mumya,positive,"filmi birkaç defa izledim 1 ve 2 olmak üzere gerçekten süpper.ne ararsan var diyebilecegim ender filmerden biri. komedi,macera,gizem,fantastik,romantik,açgözlülük:))  tek kelime ile süpper.
hele 1'de rick'in mumyayla ilk karşılaştığı sahne:))  izlemeyenler çok şey kaçırmış."
Mumya,positive,bu zamana kadar izlediğim en iyi mumya filmi diyebilirim.izlemeyen arkadaşlara tavsiye ederim.
Mumya,positive,Ani efektleri ile bir çok izleyicinin sinemada koltuğundan zıplamasına neden olan gerek eğlenceli gerek aksiyonu bol başarılı bir yapım...
Mumya,positive,çok güzel ve görsel bir film
Mumya,positive,"Ben büyük bir heyecanla izledim filmi, böyle filmlere çok fazla yatkınlığım vardır. filmde başarılı güzel çekilmiş bir film olunca çok büyük bir keyifle izleniyor."
Mumya,positive,tek kelime ile harika bir filmdi fazla söze gerek yok
Mumya,positive,süper ya bu seriyi çok seviyorum çok eğlenceli bi film
Mumya,positive,serinin en iyisi. mutlaka izlenmeli
Mumya,positive,Harika bir başyapıt.Oyunculuk desen muhteşem.Senaryo harika ne ararsan var 10/9
Mumya,negative,"değişik bir film ama çok güzel değil hani sadece bilgisayar efektleri ve bazı komik sahneler dışında akılda kalıcı bişi yok... (sanırım bu filmin büyük ilgi toplamasının sebebi Türkiyede tabiki, Uzanlara ait medya aracılığıyla hem bedava bilet hemde promosyonu iyi etkiledi)"
Mumya,positive,Kola ve cips ile ne güsel. Eğlenceli ve izle-unut tarzı...
Mumya,positive,güzel
